ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
0;3.405;0.000;3.405;0.000;0.000;0.000;1;"-"
0;4.358;0.000;4.358;0.953;0.000;0.953;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;5.807;0.000;5.807;1.449;0.000;1.449;1;"-"
0;8.427;0.000;8.427;2.619;0.000;2.619;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;8.683;0.000;8.683;0.256;0.000;0.256;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.876;0.000;8.876;0.193;0.000;0.193;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.903;0.000;8.903;0.027;0.000;0.027;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.926;0.000;8.926;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.948;0.000;8.948;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.970;0.000;8.970;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;8.992;0.000;8.992;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;9.032;0.000;9.032;0.039;0.000;0.039;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.056;0.000;9.056;0.024;0.000;0.024;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.078;0.000;9.078;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.101;0.000;9.101;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.123;0.000;9.123;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.144;0.000;9.144;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.167;0.000;9.167;0.024;0.000;0.024;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;9.198;0.000;9.198;0.031;0.000;0.031;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.221;0.000;9.221;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.243;0.000;9.243;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.265;0.000;9.265;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.287;0.000;9.287;0.023;0.000;0.023;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.308;0.000;9.308;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.329;0.000;9.329;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;9.351;0.000;9.351;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.373;0.000;9.373;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.394;0.000;9.394;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.417;0.000;9.417;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.439;0.000;9.439;0.022;0.000;0.022;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.460;0.000;9.460;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.481;0.000;9.481;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;9.508;0.000;9.508;0.027;0.000;0.027;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.533;0.000;9.533;0.025;0.000;0.025;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.554;0.000;9.554;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;9.575;0.000;9.575;0.021;0.000;0.021;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
