ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
0;1.970;0.000;1.970;0.000;0.000;0.000;1;"-"
0;2.498;0.000;2.498;0.528;0.000;0.528;1;"-"
0;2.675;0.000;2.675;0.176;0.000;0.176;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;4.699;0.000;4.699;2.025;0.000;2.025;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;4.727;0.000;4.727;0.028;0.000;0.028;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;4.828;0.000;4.828;0.101;0.000;0.101;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.861;0.000;4.861;0.033;0.000;0.033;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.880;0.000;4.880;0.019;0.000;0.019;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.898;0.000;4.898;0.018;0.000;0.018;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.923;0.000;4.923;0.025;0.000;0.025;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.939;0.000;4.939;0.016;0.000;0.016;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.954;0.000;4.954;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;4.969;0.000;4.969;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;4.984;0.000;4.984;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.000;0.000;5.000;0.016;0.000;0.016;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.015;0.000;5.015;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.029;0.000;5.029;0.014;0.000;0.014;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.043;0.000;5.043;0.013;0.000;0.013;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.057;0.000;5.057;0.014;0.000;0.014;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
0;5.072;0.000;5.072;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.087;0.000;5.087;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.101;0.000;5.101;0.014;0.000;0.014;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.116;0.000;5.116;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.131;0.000;5.131;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.146;0.000;5.146;0.015;0.000;0.015;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=false)"
0;5.160;0.000;5.160;0.014;0.000;0.014;1;"JavaWrapperMessage(ticks=0, isNote=false, isMeta=true)"
